CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalProfit,CostPressure,ChannelLeverage,GrowthMomentum,Cluster,GrowthPotentialScore,Recommendation,ClusterLabel
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.0,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,40531.090000000004,0.5278560130815875,0.5529864645446649,0.4999999999999998,943.47,2,0.311142405232635,Reduce Costs,Stable Local Performers
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,0.6666666666666679,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647132948,0.224010411184281,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,43097.82,0.5735515834295983,0.483998058317229,0.4999999999999998,1394.6200000000001,0,0.5960873000385065,Optimize Operations,High Revenue Leaders
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,0.6666666666666679,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879622809589,0.369592107273638,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,56889.149999999994,0.6237166607341247,0.5804717300832269,0.4999999999999998,1556.33,0,0.616153330960317,Optimize Operations,High Revenue Leaders
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.0,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372560633346,0.309947346220724,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,59356.899999999994,0.5871581810906416,0.56931990685407,0.4999999999999998,1368.18,0,0.3348632724362566,Reduce Costs,High Revenue Leaders
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.0,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506202757,0.430719664134085,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,45399.020000000004,0.45425158255103193,0.684442170336842,0.4999999999999998,1047.9,3,0.6817006330204128,Optimize Operations,High Growth Scalable Leaders
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,0.6666666666666679,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.368939419602975,0.501108688791282,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,30852.46,0.24721820581296802,0.8700481083942571,0.4999999999999998,739.54,3,0.46555394899185437,Reduce Costs,High Growth Scalable Leaders
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,0.8333333333333357,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843370408,0.465107345278375,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,66329.34,0.27588316557595743,0.8388131886487831,0.4999999999999998,2133.04,1,0.5436865995637172,Optimize Operations,Overextended Low Return
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.0,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.23099601617083,0.373214836767875,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,40443.36,0.4961749081964654,0.6042108529387049,0.4999999999999998,1294.92,2,0.29846996327858616,Reduce Costs,Stable Local Performers
Burgers,25319,King Burgers Diner,Cafe,West Auckland,0.8333333333333357,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675232589,0.399700684985146,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,36434.4,0.4092237226775828,0.679073360217735,0.4999999999999998,830.96,3,0.5970228224043674,Optimize Operations,High Growth Scalable Leaders
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,0.0,36.56,897,42,1535.52,385,214,256,14075.6,7823.84,9359.36,0.294071698107291,0.265251147735398,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3,32794.32,0.445016784611989,0.559322845842689,0.4999999999999998,888.03,2,0.2780067138447956,Reduce Costs,Stable Local Performers
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,0.8333333333333357,36.49,1640,468,17077.32,527,293,352,19230.23,10691.57,12844.48,0.226056149750948,0.371622992213815,0.3,16,4.72,1661.44,6870.56,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3,59843.600000000006,0.6291379479723618,0.597679141964763,0.4999999999999998,1705.6000000000001,0,0.684988512522279,Optimize Operations,High Revenue Leaders
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,0.6666666666666679,41.72,1452,299,12474.28,519,288,346,21652.68,12015.36,14435.12,0.24809970267117,0.389124022936448,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3,60577.44,0.5206930344858615,0.637223725607618,0.4999999999999998,1495.56,0,0.5749438804610117,Optimize Operations,High Revenue Leaders
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,0.8333333333333357,34.21,899,207,7081.47,311,173,208,10639.31,5918.33,7115.68,0.247309528961778,0.350396152329631,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3,30754.79,0.4591795414362536,0.597705681291409,0.4999999999999998,934.96,3,0.6170051499078357,Optimize Operations,High Growth Scalable Leaders
Burgers,25889,Top Burgers Bistro,QSR,North Shore,0.6666666666666679,40.18,1334,231,9281.58,496,276,331,19929.28,11089.68,13299.58,0.238772939294577,0.433020327752456,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3,53600.12,0.43947649155950586,0.671793267047033,0.4999999999999998,1374.02,0,0.5424572632904695,Optimize Operations,High Revenue Leaders
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.0,42.16,571,151,6366.16,189,105,126,7968.24,4426.8,5312.16,0.27608444660902,0.441550263715908,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3,24073.36,0.35267945451142513,0.717634710324928,0.4999999999999998,599.5500000000001,3,0.64107178180457,Optimize Operations,High Growth Scalable Leaders
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,0.8333333333333357,45.99,701,214,9841.86,219,122,146,10071.81,5610.78,6714.54,0.392565074376762,0.450436520925723,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3,32238.989999999998,0.28880128664720145,0.843001595302485,0.4999999999999998,729.0400000000001,3,0.5488538479922148,Optimize Operations,High Growth Scalable Leaders
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.0,34.73,1151,304,10557.92,381,212,254,13232.13,7362.76,8821.42,0.20139017611742,0.416730785742402,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3,39974.229999999996,0.4977962625784752,0.618120961859822,0.4999999999999998,1208.55,0,0.6991185050313901,Optimize Operations,High Revenue Leaders
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.0,34.64,1629,106,3671.84,685,381,457,23728.4,13197.84,15830.48,0.259387835033704,0.336022477445658,0.32,18,5.31,2426.67,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3,56428.56,0.4999889513617645,0.5954103124793619,0.4999999999999998,1710.45,0,0.6999955805447058,Optimize Operations,High Revenue Leaders
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,0.0,31.34,1519,72,2256.48,651,362,434,20402.34,11345.08,13601.56,0.272829318465665,0.319570669706445,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3,47605.46,0.5003922932154172,0.59239998817211,0.4999999999999998,1503.81,2,0.3001569172861669,Reduce Costs,Stable Local Performers
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.0,39.35,1305,85,3344.75,549,305,366,21603.15,12001.75,14402.1,0.285651653038803,0.280214194732253,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3,51351.75,0.5705713796607614,0.5658658477710561,0.4999999999999998,1370.25,0,0.7282285518643046,Optimize Operations,High Revenue Leaders
Burgers,25077,Lucky Burgers House,Cafe,CBD,0.0,39.76,1641,378,15029.28,568,316,379,22583.68,12564.16,15069.04,0.211968362163752,0.366120141441934,0.31,14,4.13,1565.27,6341.03,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3,65246.159999999996,0.6724981290528866,0.578088503605686,0.4999999999999998,1624.59,0,0.36899925162115466,Reduce Costs,High Revenue Leaders
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,0.8333333333333357,34.59,1501,328,11345.52,528,293,352,18263.52,10134.87,12175.68,0.212431895472109,0.353694221447222,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3,51919.590000000004,0.6221618644137737,0.566126116919331,0.4999999999999998,1561.04,0,0.6821980790988438,Optimize Operations,High Revenue Leaders
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.0,35.87,1180,77,2761.99,496,276,331,17791.52,9900.12,11872.97,0.254884610173758,0.256033067405224,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3,42326.600000000006,0.542343839478994,0.5109176775789821,0.4999999999999998,1239.0,0,0.7169375357915976,Optimize Operations,High Revenue Leaders
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.0,44.46,2051,636,28276.56,637,354,424,28321.02,15738.84,18851.04,0.386117483489215,0.498271016147919,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3,91187.45999999999,0.19536202127781355,0.8843884996371341,0.4999999999999998,2153.55,1,0.5781448085111254,Optimize Operations,Overextended Low Return
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.0,39.78,1449,442,17582.76,453,252,302,18020.34,10024.56,12013.56,0.380261697387323,0.519352306029759,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3,57641.219999999994,0.20686937767413643,0.8996140034170821,0.4999999999999998,1521.45,1,0.5827477510696546,Optimize Operations,Overextended Low Return
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,0.6666666666666679,43.22,1634,294,12706.68,603,335,402,26061.66,14478.7,17374.44,0.241746065188199,0.40828570977319,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3,70621.48,0.5744599678551183,0.650031774961389,0.4999999999999998,1683.02,0,0.5964506538087144,Optimize Operations,High Revenue Leaders
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,0.8333333333333357,38.26,1934,490,18747.4,650,361,433,24869.0,13811.86,16566.58,0.236518038548529,0.38063013474457,0.28,13,3.84,1662.72,7177.48,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3,73994.84,0.6929636680839982,0.617148173293099,0.4999999999999998,2011.3600000000001,0,0.7105188005669336,Optimize Operations,High Revenue Leaders
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.0,44.28,1873,350,15498.0,685,381,457,30331.8,16870.68,20235.96,0.216959698665887,0.412135697645135,0.3,9,2.66,1215.62,5748.28,2150.66,1196.21,6289.99,0.23,0.45,0.25,0.3,82936.44,0.680968041747346,0.629095396311022,0.4999999999999998,1966.65,0,0.7723872166989384,Expand Aggressively,High Revenue Leaders
Burgers,25378,King Burgers Cafe,QSR,North Shore,0.6666666666666679,37.56,1595,298,11192.88,584,324,389,21935.04,12169.44,14610.84,0.232022813316435,0.378713312605396,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3,59908.2,0.5711198180888304,0.610736125921831,0.4999999999999998,1642.8500000000001,0,0.5951145939021993,Optimize Operations,High Revenue Leaders
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,0.6666666666666679,44.4,668,60,2664.0,274,152,182,12165.6,6748.8,8080.8,0.253680308535695,0.260938313254155,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3,29659.2,0.4727115940682389,0.5146186217898501,0.4999999999999998,688.04,3,0.5557513042939627,Optimize Operations,High Growth Scalable Leaders
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.0,39.67,1315,395,15669.65,414,230,276,16423.38,9124.1,10948.92,0.254867386501282,0.375745487166569,0.3,7,2.07,571.32,5788.17,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3,52166.049999999996,0.5651242678946007,0.630612873667851,0.4999999999999998,1380.75,0,0.7260497071578403,Optimize Operations,High Revenue Leaders
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,0.0,42.19,1387,374,15779.06,456,253,304,19238.64,10674.07,12825.76,0.207379126213491,0.384480268880725,0.3,15,4.43,1346.72,6440.08,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3,58517.53,0.6324528056752194,0.591859395094216,0.4999999999999998,1373.1299999999999,0,0.35298112227008777,Reduce Costs,High Revenue Leaders
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.0,36.32,604,166,6029.12,197,110,131,7155.04,3995.2,4757.92,0.393435937189497,0.505011981772259,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3,21937.28,0.22927388615749383,0.898447918961756,0.4999999999999998,634.2,3,0.5917095544629976,Optimize Operations,High Growth Scalable Leaders
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.0,36.5,1366,273,9964.5,492,273,328,17958.0,9964.5,11972.0,0.202122342158109,0.395233107497916,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3,49859.0,0.5824852726976966,0.597355449656025,0.4999999999999998,1434.3,0,0.7329941090790787,Optimize Operations,High Revenue Leaders
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,0.8333333333333357,43.42,1527,352,15283.84,529,294,352,22969.18,12765.48,15283.84,0.220944037288427,0.393518741847947,0.31,7,2.07,728.64,5892.49,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3,66302.34,0.6375854971581036,0.6144627791363739,0.4999999999999998,1588.0800000000002,0,0.6883675321965758,Optimize Operations,High Revenue Leaders
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.0,42.81,1119,216,9246.96,406,226,271,17380.86,9675.06,11601.51,0.232086842898279,0.351238823961467,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3,47904.39,0.5595080986518264,0.583325666859746,0.4999999999999998,1174.95,0,0.7238032394607306,Optimize Operations,High Revenue Leaders
Burgers,25779,Classic Burgers Grill,Full-service,CBD,0.0,34.31,1833,642,22027.02,536,298,357,18390.16,10224.38,12248.67,0.366821483511012,0.451014979300089,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3,62890.229999999996,0.3489958651469774,0.817836462811101,0.4999999999999998,1814.67,1,0.23959834605879093,Reduce Costs,Overextended Low Return
Burgers,26101,King Burgers Tavern,Full-service,CBD,0.0,32.18,597,164,5277.52,195,108,130,6275.1,3475.44,4183.4,0.378334257286042,0.516466749412939,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3,19211.46,0.22112930926842297,0.894801006698981,0.4999999999999998,591.03,2,0.18845172370736918,Reduce Costs,Stable Local Performers
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,0.8333333333333357,33.51,1661,499,16721.49,523,290,349,17525.73,9717.9,11694.99,0.396553314290941,0.485376674565487,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3,55660.11,0.21034876690541476,0.881929988856428,0.4999999999999998,1727.44,1,0.5174728400955002,Optimize Operations,Overextended Low Return
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.0,36.33,1499,525,19073.25,438,244,292,15912.54,8864.52,10608.36,0.372706734831445,0.524310493981466,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3,54458.67,0.20845692056082346,0.897017228812911,0.4999999999999998,1573.95,1,0.5833827682243293,Optimize Operations,Overextended Low Return
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,0.6666666666666679,44.7,1528,361,16136.7,525,292,350,23467.5,13052.4,15645.0,0.267324640452862,0.437447387818247,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3,68301.6,0.45437351691999095,0.704772028271109,0.4999999999999998,1573.8400000000001,0,0.5484160734346635,Optimize Operations,High Revenue Leaders
Burgers,26079,Top Burgers Eatery,Cafe,CBD,0.0,43.28,562,166,7184.48,178,99,119,7703.84,4284.72,5150.32,0.243581773433834,0.436767387227155,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3,24323.36,0.3663326428156295,0.680349160660989,0.4999999999999998,556.38,2,0.2465330571262518,Reduce Costs,Stable Local Performers
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.0,46.57,1487,122,5681.54,614,341,410,28593.98,15880.37,19093.7,0.29746993877925,0.321676251804456,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3,69249.59,0.5882358892250217,0.619146190583706,0.4999999999999998,1561.3500000000001,0,0.7352943556900087,Optimize Operations,High Revenue Leaders
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,0.8333333333333357,37.61,1276,271,10192.31,452,251,302,16999.72,9440.11,11358.22,0.218210295401514,0.37306306483224,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3,47990.36,0.5491987873653629,0.591273360233754,0.4999999999999998,1327.04,0,0.6530128482794795,Optimize Operations,High Revenue Leaders
Burgers,25881,Lucky Burgers Diner,QSR,CBD,0.0,36.87,1197,199,7337.13,449,250,299,16554.63,9217.5,11024.13,0.201856870297343,0.401524102664553,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3,44133.39,0.5100000825319964,0.603380972961896,0.4999999999999998,1185.03,2,0.30400003301279854,Reduce Costs,Stable Local Performers
Burgers,26244,Urban Burgers House,Cafe,West Auckland,0.8333333333333357,34.3,1728,356,12210.8,617,343,412,21163.1,11764.9,14131.6,0.24282123086974,0.435210464918055,0.33,17,5.02,2068.24,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3,59270.399999999994,0.4350644907682636,0.678031695787795,0.4999999999999998,1797.1200000000001,0,0.6073591296406398,Optimize Operations,High Revenue Leaders
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,0.6666666666666679,35.96,697,226,8126.96,212,118,141,7623.52,4243.28,5070.36,0.369292362453416,0.529286201111972,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3,25064.12,0.2407785802313504,0.898578563565388,0.4999999999999998,717.91,3,0.4629780987592073,Reduce Costs,High Growth Scalable Leaders
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,0.8333333333333357,41.27,1437,485,20015.95,428,238,286,17663.56,9822.26,11803.22,0.381961005600169,0.502269128710031,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3,59304.990000000005,0.1885435472092337,0.8842301343102,0.4999999999999998,1494.48,1,0.5087507522170277,Optimize Operations,Overextended Low Return
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,0.8333333333333357,44.01,1458,95,4180.95,613,341,409,26978.13,15007.41,18000.09,0.287121943430975,0.263713604072109,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6395.83,0.07,0.45,0.25,0.3,64166.58,0.669552801708359,0.5508355475030839,0.4999999999999998,1516.3200000000002,0,0.7011544540166779,Optimize Operations,High Revenue Leaders
Burgers,26532,King Burgers House,Full-service,North Shore,0.6666666666666679,34.87,2227,722,25176.14,677,376,452,23606.99,13111.12,15761.24,0.383675677911378,0.470021476503462,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3,77655.49,0.2423967398264005,0.85369715441484,0.4999999999999998,2293.81,1,0.46362536259722736,Reduce Costs,Overextended Low Return
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,0.8333333333333357,35.82,818,238,8525.16,261,145,174,9349.02,5193.9,6232.68,0.210430280975997,0.436889241216704,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3,29300.760000000002,0.43260876452529845,0.6473195221927011,0.4999999999999998,850.72,3,0.6063768391434537,Optimize Operations,High Growth Scalable Leaders
Burgers,25119,Classic Burgers Eatery,Cafe,CBD,0.0,33.49,1265,253,8472.97,455,253,304,15237.95,8472.97,10180.96,0.238450531568378,0.443626348115504,0.3,5,1.48,449.92,2693.75,273.11,151.86,2786.84,0.25,0.45,0.25,0.3,42364.85,0.42859105369132333,0.682076879683882,0.4999999999999998,1252.35,2,0.2714364214765293,Reduce Costs,Stable Local Performers
Burgers,26494,Top Burgers House,Full-service,CBD,0.0,41.87,1466,475,19888.25,446,248,297,18674.02,10383.76,12435.39,0.387959811929613,0.479524135775864,0.31,11,3.25,965.25,2635.51,-3314.34,-1842.95,682.64,0.48,0.45,0.25,0.3,61381.420000000006,0.22240216563958692,0.867483947705477,0.4999999999999998,1451.34,1,0.18896086625583475,Reduce Costs,Overextended Low Return
Burgers,25161,Top Burgers Corner,Cafe,West Auckland,0.8333333333333357,40.42,1119,319,12893.98,360,200,240,14551.2,8084.0,9700.8,0.279486142154783,0.420557478116825,0.3,13,3.84,921.6,3867.63,-0.63,-0.35,1988.22,0.4,0.45,0.25,0.3,45229.979999999996,0.4272415224331283,0.700043620271608,0.4999999999999998,1163.76,3,0.6042299423065857,Optimize Operations,High Growth Scalable Leaders
